"name","tags","description"
"Cantero/Cantera","[Profesión]","Modificador del nivel económico -20"
"Matón/Matona","[Profesión]","Modificador del nivel económico -15"
"Agricultor/Agricultora","[Profesión]","Modificador del nivel económico -30"
"Ganadero/Ganadera","[Profesión]","Modificador del nivel económico -20"
"Herrero/Herrera","[Profesión]","Modificador del nivel económico +25"
"Militar","[Profesión]","Modificador del nivel económico +20"
"Sirviviente/Sirvienta","[Profesión]","Modificador del nivel económico -40"
"Mercenario/Mercenaria","[Profesión]","Modificador del nivel económico 0"
"Acróbata","[Profesión]","Modificador del nivel económico -10"
"Cazarrecompensas","[Profesión]","Modificador del nivel económico +10"
"Bailarín/Bailarina","[Profesión]","Modificador del nivel económico 15"
"Bufón/Bufona","[Profesión]","Modificador del nivel económico -20"
"Alfarero/Alfarera","[Profesión]","Modificador del nivel económico +10"
"Ebanista","[Profesión]","Modificador del nivel económico +15"
"Escultor/Escultora","[Profesión]","Modificador del nivel económico +25"
"Sacerdote/Sacerdotisa","[Profesión]","Modificador del nivel económico 0"
"Marinero/Marinera","[Profesión]","Modificador del nivel económico -10"
"Trotamundos","[Profesión]","Modificador del nivel económico -30"
"Ladrón/Ladrona","[Profesión]","Modificador del nivel económico -20"
"Comerciante","[Profesión]","Modificador del nivel económico +40"
"Actor/Actriz","[Profesión]","Modificador del nivel económico -5"
"Espía","[Profesión]","Modificador del nivel económico +10"
"Asceta","[Profesión]","Modificador del nivel económico -50"
"Montaraz","[Profesión]","Modificador del nivel económico -20"
"Estafador/Estafadora","[Profesión]","Modificador del nivel económico +20"
"Pintor/Pintora","[Profesión]","Modificador del nivel económico +25"
"Perfumista","[Profesión]","Modificador del nivel económico +20"
"Cortesano/Cortesana","[Profesión]","Modificador del nivel económico +50"
"Músico/Música","[Profesión]","Modificador del nivel económico +15"
"Escritor/Escritora","[Profesión]","Modificador del nivel económico +25"
"Poeta/Poetisa","[Profesión]","Modificador del nivel económico +30"
"Erudito/Erudita","[Profesión]","Modificador del nivel económico +20"
