"name","tags","nivel","ca","pg","hd","FUE","DES","CON","INT","SAB","CAR","FOR","REF","VOL","description"
"Abolez","[Aberración][Grande][Caótico]",9,17,126,"18d10+18",21,10,15,18,15,18,6,4,6,"<h3><b>Movimiento 4m, nadar 16m. Iniciativa +0.
</b></h4><h3><b>Anfibio</b></h3> Puede respirar bajo el agua y en la superficie.
<h3><b>Nube mucosa</b></h3> Cuando está bajo el agua emite una nube amarillenta de
mucosa en un radio de 2 metros. Esta nube provoca una enfermedad a
quien no supere una salvación de Fortaleza CD 17 que dura 1d4 horas y que
obliga a sus víctimas a respirar solo dentro del agua.
<h3><b>Sondeo telepático</b></h3> Si se comunica telepáticamente con una criatura visible, descubre sus mayores deseos.
<h3><b>Telepatía 48m</b></h3>
<h3><b>Visión en la oscuridad 48m</b></h3>
<h2><b>ACCIONES</b></h2>
<h3><b>Multiataque</b></h3> Tentáculo (3).
<h3><b>Esclavizar</b></h3> Puede esclavizar a
una criatura visible a un máximo
de 12 metros que no supere una
salvación de Voluntad CD 17. La
criatura obtiene la clave [Esclavizado]
hasta que el abolez muera o cambie de
mundo. Una criatura bajo esta clave no
puede utilizar reacciones y puede recibir
comunicación telepática del abolez allí
donde se encuentre. La víctima puede
repetir la salvación para finalizar el efecto una vez cada 24 horas, siempre y
cuando se encuentre a más de 1 km del abolez.
<h3><b>Tentáculo</b></h3> +11, 4m, 11(2d6+5) contundente[G]. El objetivo debe superar
una salvación de Fortaleza CD 17 o queda enfermo. Durante el primer
minuto la enfermedad no tiene efecto y puede eliminarse de forma mágica.
Pasado este minuto, la piel del objetivo se vuelve translúcida y pegajosa,
no puede recuperar PG a no ser que esté bajo el agua y recibe 6(1d12) ácido[A] cada diez minutos que pase con la piel seca. Una vez la enfermedad
tenga efecto solo puede eliminarse con un conjuro o efecto de [Rango 6]
o superior.
<h2><b>ACCIONES LEGENDARIAS</b></h2>
<h3><b>Coletazo</b></h3> +11, 4m, 14(3d6+5) contundente[G].
<h3><b>Drenaje Psíquico</b></h3> Puede causar 9(3d6) psíquico[S] a una criatura que haya
[Esclavizado]. Además, recupera tantos PG como daño haya causado.
"
"Acechador invisible","[Elemental][Medio][Incor póreo][Invisible]",8,14,96,"16d8+16",16,19,14,10,15,11,3,4,2,"<h3><b>Movimiento 20m, levitar 20m. Iniciativa +4.
</b></h4><h3><b>Inmune a las claves [Apresado], [Derribado], [Envenenado], [Frenado], [Inconsciente], [Paralizado], [Petrificado] y al agotamiento.
<h3><b>Movimiento incorpóreo</b></h3> Puede mover a través de criaturas y otros obstáculos como si fuera [Terreno Difícil]. Si termina el turno dentro de un objeto,
el acechador invisible recibe 5(1d10) místico[M].
<h3><b>Rastreador</b></h3> Siempre conoce la dirección y la distancia a la que se encuentra
su invocador.
<h3><b>Resistente al daño contundente[G], cortante[C] y perforante[P]</b></h3>
<h2><b>ACCIONES</b></h2>
<h3><b>Multiataque</b></h3> Golpe (2).
<h3><b>Golpe</b></h3> +10, 2m, 9(2d6+3) contundente[G].
"
"Alfombra asfixiante","[Constructo][Grande]",3,12,36,"6d10",17,14,10,1,3,1,3,2,-4,"<h3><b>Movimiento 4m. Iniciativa +2.
</b></h4><h3><b>Falsa apariencia</b></h3> Mientras permanece inmóvil es indistinguible de una
alfombra normal.
<h3><b>Inmune a las claves [Asustado], [Cegado], [Encantado], [Ensordecido], [Envenenado], [Paralizado], [Petrificado] y al agotamiento.
<h3><b>Invulnerable al daño psíquico[S], veneno[V]</b></h3>
Sensible a la antimagia. Obtiene la clave [Incapacitado] si se encuentra
en un área con un campo de antimagia. Si es objetivo del conjuro Disipar
magia debe superar una salvación de Fortaleza contra dicho conjuro o cae
[Inconsciente] durante 1 hora.
<h3><b>Transferir daño</b></h3> Mientras apresa a una criatura, recibe solo la mitad del
daño que se le realice. La otra mitad la recibe la criatura apresada.
<h3><b>Vista ciega 24m</b></h3> No es capaz de ver más allá de esta distancia.
<h2><b>ACCIONES</b></h2>
<h3><b>Asfixiar</b></h3> +5, 2m. La criatura queda en estado [Apresado]. Mientras permanece así, también obtiene las claves [Cegado], [Frenado] y corre el riesgo de
asfixiarse —página 134 de Reglas & Magia—. Además, al inicio de cada
uno de los turnos de la víctima, esta recibe 9(2d6+3) contundente[G]. La
alfombra asfixiante solo puede asfixiar a una criatura a la vez, y solo si esta
posee las claves [Medio], [Pequeño] o [Diminuto].
"
"Ankheg","[Monstruosidad][Grande]",3,14,39,"6d10+3",17,11,13,1,13,6,3,0,1,"<h3><b>Movimiento 12m, excavar 4m. Iniciativa +0.
</b></h4><h3><b>Visión en la oscuridad 24m</b></h3>
<h2><b>ACCIONES</b></h2>
<h3><b>Mordisco</b></h3> +5, 2m, 9(2d6+3) perforante[P] + 3(1d6) ácido[A]. Si el objetivo no es [Enorme] o [Gigantesco], queda [Apresado]. Mientras esté [Apresado],
el ankheg tan solo puede morder a
dicho objetivo, aunque lo hace
con ventaja.
<h3><b>Rociada ácida</b></h3> Recarga 6.
Escupe ácido en una línea de
12 metros de largo y 2 metros
de ancho. Cada criatura en el
interior del área recibe 9(3d6)
ácido[A] o la mitad si superan una salvación de
Reflejos CD 11.
"
"Aparecido","[Muerto Viviente][Medio][Maligno][Incor póreo]",5,13,65,"10d8+15",6,16,16,12,14,15,3,3,2,"<h3><b>Movimiento 0m, levitar 24m. Iniciativa +3.
</b></h4><h3><b>Inmune a las claves [Apresado], [Derribado], [Encantado], [Envenenado],
[Frenado], [Paralizado], [Petrificado] y al agotamiento.
<h3><b>Invulnerable al daño oscuridad[O] y veneno[V]</b></h3>
<h3><b>Movimiento incorpóreo</b></h3> Puede mover a través de criaturas y otros obstáculos como si fuera [Terreno Difícil]. Si termina el turno dentro de un objeto,
recibe 5(1d10) místico[M].
<h3><b>Resistente al daño ácido[A], contundente[G], cortante[C], escarcha[E],
fuego[F], perforante[P], rayo[R] y trueno[T]. Los ataques con la clave [Plata]
le causan su daño normal.
<h3><b>Sensibilidad a la luz</b></h3> Obtiene desventaja en las tiradas de ataque y en las
pruebas de atributo de Sabiduría relacionadas con la vista cuando está expuesto a la luz del día.
<h3><b>Visión verdadera 48m</b></h3>
<h2><b>ACCIONES</b></h2>
<h3><b>Drenaje vital</b></h3> +7, 2m, 19(4d8+3) oscuridad[O]. El objetivo ve reducidos sus PG máximos tanto daño como el
causado por este ataque, excepto si supera una salvación
de Fortaleza CD 13. Si gracias a este efecto sus PG
máximos descienden a 0, muere. Está reducción
dura hasta que el objetivo realice un descanso.
Crear espectro. El aparecido elige un objetivo a 4 metros que haya muerto violentamente hace como máximo 1 minuto. El ánima de
la víctima se levanta como un espectro bajo
el control del aparecido, quien como mucho
puede tener siete de estas criaturas a su servicio
al mismo tiempo.
"
"Árbol despertado","[Planta][Enorme]",4,13,64,"8d12+8",19,6,15,10,10,7,4,0,0,"<h3><b>Movimiento 8m. Iniciativa -2.
</b></h4><h3><b>Falsa apariencia</b></h3> Mientras permanece inmóvil es indistinguible de un árbol normal.
<h3><b>Resistente al daño contundente[G], perforante[P]</b></h3>
<h3><b>Vulnerable al daño fuego[F]</b></h3>
<h2><b>ACCIONES</b></h2>
<h3><b>Golpe</b></h3> +6, 4m, 13(3d6+4) contundente[G].
"
"Arbolante","[Planta][Enorme]",6,16,114,"12d12+30",23,8,21,12,16,12,6,1,3,"<h3><b>Movimiento 12m. Iniciativa -1.
</b></h4><h3><b>Falsa apariencia</b></h3> Mientras permanece inmóvil es indistinguible de un árbol normal.
<h3><b>Monstruo de asedio</b></h3> Realiza el doble de daño contra objetos y estructuras.
<h3><b>Resistente al daño contundente[G], perforante[P]</b></h3>
<h3><b>Vulnerable al daño fuego[F]</b></h3>
<h2><b>ACCIONES</b></h2>
<h3><b>Multiataque</b></h3> Golpe (2).
<h3><b>Golpe</b></h3> +8, 4m, 15(3d6+6) contundente[G].
<h3><b>Roca</b></h3> +8, 24/72m, 26(4d10+6) contundente[G].
<h3><b>Animar árboles</b></h3> Anima hasta dos árboles dentro de un área de 24 metros
de radio. Estos árboles se convierten en árboles despertados y obedecerán
las órdenes del arbolante hasta que este muera, pase un día o se aleje más de
48 metros de ellos. Llegado ese momento, los árboles echarán raíces donde
estén. Solo se puede utilizar una vez al día.
"
"Arbusto despertado","[Planta][Pequeño]",2,9,16,"4d6",3,8,11,10,10,6,0,0,0,"<h3><b>Movimiento 8m. Iniciativa -1.
</b></h4><h3><b>Falsa apariencia</b></h3> Mientras permanece inmóvil es indistinguible de un arbusto normal.
<h3><b>Resistente al daño perforante[P]</b></h3>
<h3><b>Vulnerable al daño fuego[F]</b></h3>
<h2><b>ACCIONES</b></h2>
<h3><b>Arañazo</b></h3> +4, 2m, 2(1d4) cortante[C].
"
"Armadura viviente","[Constructo][Medio]",3,18,33,"6d8+3",14,11,13,1,3,1,2,0,-4,"<h3><b>Movimiento 10m. Iniciativa +0.
</b></h4><h3><b>Falsa apariencia</b></h3> Mientras permanece inmóvil es indistinguible de una
armadura de placas completa ordinaria.
Inmune a las claves [Asustado], [Cegado], [Encantado], [Ensordecido],
[Envenenado], [Paralizado], [Petrificado] y al agotamiento.
<h3><b>Invulnerable al daño psíquico[S], veneno[V]</b></h3>
<h3><b>Sensible a la antimagia</b></h3> Obtiene la clave [Incapacitado] si se encuentra
en un área con un campo de antimagia. Si es objetivo del conjuro Disipar
magia debe superar una salvación de Fortaleza contra dicho conjuro o cae
[Inconsciente] durante 1 hora.
<h3><b>Vista ciega 24m</b></h3> No es capaz de ver más allá de esta distancia.
<h2><b>ACCIONES</b></h2>
<h3><b>Multiataque</b></h3> Golpe (2).
<h3><b>Golpe</b></h3> +5, 2m, 5(1d6+2) contundente[G].
"
"Arpía","[Monstruosidad][Medio][Maligno]",4,11,44,"8d8+4",12,13,12,7,10,13,1,1,1,"<h3><b>Movimiento 8m, volar 16m. Iniciativa +1.
</b></h4><h2><b>ACCIONES</b></h2>
<h3><b>Multiataque</b></h3> Clava (1) y Garras (1).
<h3><b>Clava</b></h3> +6, 2m, 3(1d4+1) contundente[G].
<h3><b>Garras</b></h3> +6, 2m, 5(2d4+1) cortante[C].
<h3><b>Melodía embrujada</b></h3> Todas las criaturas con las claves [Humanoide] y
[Gigante] que puedan oír y se encuentren a 120 metros deben superar una
salvación de Voluntad CD 12 o quedan en estado [Encantado] hasta que la
melodía termina. La arpía puede utilizar una acción bonus en cada uno de
los siguientes turnos para seguir emitiendo esta melodía.
Mientras se es víctima del encantamiento, la criatura queda en estado
[Incapacitado] e ignora la melodía de otras arpías. Además, si está a más de
2 metros de la fuente del sonido, debe avanzar lo más rápido posible hacia
ella, por el camino más directo. Al final de cada uno de sus turnos, la víctima puede repetir la salvación para terminar con el efecto. Una criatura que
supere la salvación es inmune a la Melodía embrujada de esta arpía durante
24 horas.
"
