"name","icono","range","tags","description"
"Abrir","transmutacion.png",2,"[Rango 2][Transmutación]","Escoge un objeto que esté atrancado o
cerrado mecánica o mágicamente y que
esté dentro de tu alcance visual a no más
de 24 metros. El objeto se abre o desatranca, causando un fuerte golpe que
se escucha en un radio de 120 metros.
Solo es posible abrir una cerradura con
cada uso de este conjuro. Si el objeto ha
sido objetivo de un conjuro Cerrar, este
quedará anulado durante 10 minutos.
"
"Acelerar","transmutacion.png",3,"[Rango 3][Transmutación][Concentración]","Elige una criatura que puedas ver a un
máximo de 12 metros de ti. Durante
1 minuto, la velocidad de la criatura se
dobla, gana +2 CA, tiene ventaja en
las salvaciones de Reflejos y gana una
acción adicional en cada uno de sus
turnos. Esta acción solo puede usarse
para realizar un ataque de arma, Correr,
Esconderse, Separarse o Usar un objeto.
En el turno posterior a la finalización del
conjuro, la criatura afectada no puede
moverse ni realizar acciones.
"
"Adivinación","adivinacion.png",4,"[Rango 4][Adivinación][Ritual][Coste 25 pn]","Tu magia y una ofrenda te ponen en
contacto con un sirviente de Lux.
Puedes realizar una única pregunta que
tiene que ver con un objetivo, evento o
actividad específica que va tener lugar
en los próximos 7 días. El Árbitro debe
responder con una breve frase, un verso
críptico o un presagio.
"
"Agrandar/Reducir","transmutacion.png",2,"[Rango 2][Transmutación][Concentración]","Provocas que una criatura u objeto que
puedas ver a un máximo de 12 metros
de ti se vuelva más grande o más pequeño durante 1 minuto. La criatura puede
realizar una salvación de Fortaleza para
evitar que el conjuro tenga efecto.
Si el objetivo es una criatura, todo lo
que vista y porte cambia de tamaño con
ella. Cualquier objeto dejado caer por
una criatura afectada vuelve a su tamaño
normal al instante.
• Agrandar. La criatura aumenta su
tamaño en un nivel y multiplica su
peso por ocho. Mientras dure el
conjuro, la criatura tiene ventaja en
las pruebas de atributo de Fuerza
y en las salvaciones de Fortaleza.
Las armas del objetivo también se
agrandan con él, acorde a su nuevo
tamaño, por lo que realizan 1d4
puntos de daño adicional.
• Reducir. La criatura disminuye su
tamaño en un nivel y divide su peso
entre ocho. Mientras dure el conjuro, la criatura tiene desventaja en
las pruebas de atributo de Fuerza
y en las salvaciones de Fortaleza.
Las armas del objetivo también se
reducen con él, acorde a su nuevo
tamaño, por lo que causan 1d4
puntos de daño menos.
"
"Aislar","transmutacion.png",7,"[Rango 7][Transmutación][Coste 50 pr][Diario]","Tocas a una criatura o a un objeto y lo
envuelves en una burbuja estática. Dentro de la burbuja, el objetivo es [Invisible]
y el tiempo no pasa. Además, no puede
detectarse por conjuros de[Adivinación].
Puedes determinar una condición para
que el conjuro finalice, aunque este lo
hará prematuramente si el objetivo sufre
cualquier daño.
"
"Alarma","abjuracion.png",1,"[Rango 1][Abjuración][Ritual]","Meditas durante 1 minuto y escoges
una puerta, una ventana o un área que
esté a un máximo de 12 metros de ti. Se
activa una alarma que suena cuando una
criatura toca o entra en el área protegida.
Durante tu meditación puedes elegir
qué criaturas no activan la alarma y si
la alarma es un aviso mental —radio
de 2 km— o auditivo —radio de 24
metros—. Dura hasta 8 horas.
"
"Aliado de Otro Mundo","conjuracion.png",6,"[Rango 6][Conjuración][Diario]","Meditas durante 10 minutos e imploras
ayuda a una entidad de otro mundo que
conoces. La entidad envía una criatura
de su mundo a socorrerte. La criatura no
está bajo ninguna obligación de ponerse
a tu servicio, pero puedes llevar a cabo
tratos con ella.
Si expira el acuerdo o se completa la tarea,
la criatura vuelve a su mundo. Una criatura reclutada para tu grupo cuenta como
un miembro de este, y recibe una parte
de los puntos de experiencia obtenidos.
"
"Aliento de Dragón","evocacion.png",5,"[Rango 5][Evocación]","Una gran llama surge de tu boca,
cubriendo un cono de 12 metros. Cada
criatura en el área afectada debe realizar
una salvación de Reflejos. Si no la supera, sufre 8d8 puntos de daño de fuego.
Una criatura que tenga éxito solo recibe
la mitad de daño.
<br><br><b>Potenciación</b>. Incrementas el daño 1d8
por cada rango que aumentes.
"
"Alterar el Propio Aspecto","transmutacion.png",2,"[Rango 2][Transmutación][Concentración]","Tomas una forma diferente durante
1 hora. Puedes escoger una de las
siguientes formas, y cambiarla por otra
empleando una acción, siempre y cuando el conjuro siga activo. • Adaptación acuática. Te brotan
branquias y te crecen membranas
entre los dedos. Respiras con
normalidad bajo el agua y puedes
nadar tu velocidad normal, en lugar
de la mitad.
• Armas naturales. Te crece un arma
natural de tu elección: garras,
colmillos, espinas, cuernos, etc.
Eres considerado competente en
ataques sin armas y provocas con
ellos 1d6 puntos de daño contundente, cortante o perforante, según
corresponda al arma escogida.
Además, tu arma natural tiene la
clave [Mágico] y te otorga un bonificador de +1 al impacto y al daño.
• Cambio de apariencia. Transformas tu apariencia, incluida tu
altura, tu peso, tus rasgos faciales,
el sonido de tu voz, la longitud o
color de tu pelo. Puedes parecer de
otra especie, siempre y cuando sea
del mismo tamaño.
"
"Animar Objetos","transmutacion.png",5,"[Rango 5][Transmutación][Concentración]","Elige hasta diez objetos a un máximo
de 48 metros de ti, que no estén siendo
usados ni sujetos y que no sean mágicos.
Los objetos de tamaño [Medio] cuentan
como dos objetos, los de tamaño
[Grande] cuentan como cuatro y los de
tamaño [Enorme] cuentan como ocho.
Cada objeto elegido cobra vida y se
convierte en una criatura bajo tu control
durante 1 minuto o hasta que bajen
a 0 PG.
Empleando una acción adicional puedes
dar una orden a una o varias criaturas
animadas por Animar Objetos que estén
a un máximo de 200 metros de ti.
<br><br><b>Potenciación</b>. Animas dos objetos adicionales por cada rango que aumentes.
"
"Antipatía/Simpatía","encantamiento.png",8,"[Rango 8][Encantamiento]","Te concentras durante 1 hora y escoges
cualquier cosa que esté a un máximo
de 24 metros de ti. Luego, escoge una
clave de tipo de criatura inteligente. El
objetivo atrae o repele a las criaturas con
esa clave durante los próximos 10 días.
Cuando lanzas el conjuro debes escoger
entre Antipatía o Simpatía:
• Antipatía. Provoca que las criaturas con la clave escogida tengan
el instinto de alejarse del objetivo.
Cada criatura vea el objetivo o se
encuentre a menos de 24 metros
de él, debe superar una salvación
de Voluntad o queda en estado
[Asustado] y debe usar su movimiento para alejarse lo máximo posible del objetivo, hasta abandonar
un radio de 24 metros o hasta que
deje de ser visible.
• Simpatía. Provoca que las criaturas con la clave escogida tengan
el instinto de acercarse al objetivo.
Cada criatura vea el objetivo o se
encuentre a menos de 24 metros
de él, debe superar una salvación
de Voluntad o usar su movimiento
para acercarse lo máximo posible al
objetivo. Cuando llega al objetivo,
ya no puede alejarse hasta que el
efecto del conjuro finalice.
Una criatura afectada por este conjuro
puede intentar superar una salvación de
Voluntad cada 24 horas. Si lo consigue,
es inmune a los efectos del conjuro
durante 1 minuto.
"
"Arma Espiritual","evocacion.png",2,"[Rango 2][Evocación]","Empleando una acción bonus, generas
un arma espiritual flotante a 24 metros
de ti durante 1 minuto. Al lanzar el
conjuro puedes hacer un ataque de
conjuro cuerpo a cuerpo contra una criatura a 2 metros del arma espiritual. Si
impacta, realiza 1d8 + tu modificador de
atributo para el lanzamiento de conjuros
como daño místico. En cada turno,
puedes utilizar tu acción bonus para
mover el arma hasta 8 metros y repetir
el ataque. El arma puede tomar la forma
que prefieras.
<br><br><b>Potenciación</b>. Incrementas el daño 1d8
por cada rango que aumentes.
"
"Arma Mágica","transmutacion.png",2,"[Rango 2][Transmutación][Concentración]","Empleando una acción bonus, tocas
un arma que no tenga la clave [Mágico].
Durante la próxima hora, el arma tiene
la clave [Mágico], un bonificador de +1 al
impacto y otro de +1 al daño.
<br><br><b>Potenciación</b>. Sumas 1 a los bonificadores del arma por cada dos rangos que aumentes.
"
"Armadura de Mago","abjuracion.png",1,"[Rango 1][Abjuración]","Tocas a una criatura que no tenga puesta
armadura y una magia protectora la
rodea durante 8 horas. La CA base del
objetivo se vuelve 13 + DES. El conjuro finaliza si la criatura se pone una
armadura o si lo cancelas empleando
una acción.
"
