"name","tags","description"
"Siempre preparado","[Experto][Nivel 1]","Tienes la capacidad para reaccionar rápidamente ante los imprevistos gracias a tu experiencia y tu instinto. Al coste de 1 PE y una acción bonus, puedes tirar el Dado de Preparación —indicado en la Tabla de progreso de experto— y añadir el resultado a una prueba de atributo, tirada de ataque o salvación. Este dado puede añadirse después de realizar la tirada."
"Hombre de mundo","[Experto][Nivel 1][Nivel 2][Nivel 3][Nivel 5][Nivel 7][Nivel 9]","A lo largo de tu vida has adquirido una extensa variedad de conocimientos y dones. A nivel 1 puedes elegir uno de los talentos de la lista siguiente. Obtienes un talento adicional al subir a los niveles 2, 3, 5, 7 y 9: Astuto, Cazador, Encantador, Ladrón, Lingüista, Medicina, Ocultismo, Puntería, Sigilo, Superviviente, Voz de mando."
"Astuto","[Experto][Hombre de mundo]","Tu rapidez mental y agilidad te permiten actuar con mayor rapidez. Puedes emplear tu acción bonus para realizar una acción de Correr, Separarse o Esconderse."
"Cazador","[Experto][Hombre de mundo]","Eres un experto en atrapar animales. Tienes ventaja cuando intentas cazarlos. Además, puedes sumar tu bono competencia cada vez que haces una prueba de atributo de Sabiduría relacionado con seguir rastros o buscar huellas. Si el rastro es reciente o transcurre por bosques, playas o pantanos, tendrás ventaja. Si el rastro tiene más de tres días o transcurre por tierras rocosas o ríos, tendrás desventaja."
"Encantador","[Experto][Hombre de mundo]","Tienes una personalidad especialmente atractiva. Cada vez que haces una prueba de atributo de Carisma relacionada con engañar, interpretar, persuadir o seducir a alguien puedes añadir tu bono de competencia al resultado de la prueba. Si ya eras competente en Carisma, doblas el bono de competencia. Además, puedes añadir tu modificador de Carisma a la Iniciativa."
"Ladrón","[Experto][Hombre de mundo]","Eres capaz de realizar algunas tareas de dudosa moralidad con extrema facilidad. Cada vez que haces una prueba de atributo de Inteligencia relacionada con buscar trampas o puertas secretas, o una prueba de atributo de Destreza relacionada con abrir cerraduras, desactivar trampas o robar puedes añadir tu bono de competencia al resultado de la prueba. Si ya eras competente en el atributo correspondiente, doblas el bono de competencia."
"Lingüista","[Experto][Hombre de mundo]","A lo largo de tu vida has aprendido multitud de idiomas. Cuando te encuentres por primera vez con un idioma con el que no hayas tratado antes puedes realizar una prueba de atributo de Inteligencia a CD 15 —CD 20 si se trata de un idioma antiguo—. Si tienes éxito, podrás apuntar ese idioma como conocido. Si fallas, el lenguaje te será desconocido."
"Medicina","[Experto][Hombre de mundo]","Eres un experto en el cuerpo humano y las técnicas de curación. Si dedicas un minuto a aplicar primeros auxilios a un herido, puedes realizar una prueba de atributo de Sabiduría a CD 15. Si tienes éxito, el paciente recuperará tantos PG como su propio nivel. Solo puedes hacer un intento por paciente y día."
"Ocultismo","[Experto][Hombre de mundo]","Tienes extensos conocimientos sobre leyendas, ocultismo y los Mitos de Cthulhu. Cada vez que haces una prueba de atributo de Inteligencia relacionada con el conocimiento de estos temas puedes elegir hacerlo con ventaja, pero si lo haces te arriesgas a comprender algo que no deberías. Después de la tirada, debes hacer una prueba de Cordura."
"Puntería","[Experto][Hombre de mundo]","Cuando haces un ataque de armas a distancia, no obtienes desventaja por encontrarte a largo alcance e ignoras los penalizadores por media cobertura y cobertura de tres cuartos."
"Sigilo","[Experto][Hombre de mundo]","Eres muy hábil a la hora de pasar desapercibido y no ser visto. Cada vez que haces una prueba de atributo de Destreza relacionada con esconderse, moverse sigilosamente o emboscar a enemigos puedes añadir tu bono de competencia al resultado de la prueba. Si ya eras competente en el atributo correspondiente, doblas el bono de competencia."
"Superviviente","[Experto][Hombre de mundo]","Has aprendido a sobrevivir en cualquier situación. Eres competente en todas las salvaciones."
"Voz de mando","[Experto][Hombre de mundo]","Sabes organizar estrategias rápidas para ayudar a tus aliados en combate. Puedes emplear tu acción para elegir a un aliado que pueda oírte a menos de 20 m. Este aliado puede usar su reacción para llevar a cabo una acción de forma inmediata. Esta acción solo puede ser Atacar —solo un ataque—, Ayudar, Esconderse, Esquivar o Separarse. No podrás volver a usar este talento hasta que finalices un descanso."
