"name","tags","description"
"Afinidad Arcana","[Raza][Alto Elfo]","De forma natural, te has rodeado de lo arcano. Sumas tu nivel a tu Poder Máximo."
"Sentidos Agudizados","[Raza][Alto Elfo]","Tienes los sentidos mejorados, por lo que obtienes ventaja en las pruebas de atributo de Sabiduría que impliquen el oído o la vista."
"Sentidos Agudizados","[Raza][Elfo del Bosque]","Tienes los sentidos mejorados, por lo que obtienes ventaja en las pruebas de atributo de Sabiduría que impliquen el oído o la vista."
"Soñador","[Raza][Elfo del Bosque]","Estás sintonizado con las energías del Equilibrio. Cada vez que duermas en un terreno boscoso, tu descanso dura 4 horas en lugar de 8 y puedes descansar una vez cada 12 horas en lugar de cada 24 horas."
"Resistencia Natural","[Raza][Enano]","Tu dureza natural te otorga ventaja en las salvaciones de Fortaleza para evitar venenos y resistencia al daño de veneno."
"Visión en la Oscuridad","[Raza][Enano]","Estás acostumbrado a vivir en minas y construcciones subterráneas, por lo que obtienes visión en la oscuridad a 24 metros de distancia."
"Ilusionista Natural","[Raza][Gnomo]","Conoces el conjuro [A Voluntad] ilusión menor. Inteligencia es tu característica para realizar el conjuro. Si tu clase es la de Hechicero, este conjuro se suma al número de conjuros a [A Voluntad] que puedes conocer."
"Visión en la Oscuridad","[Raza][Gnomo]","Estás acostumbrado a vivir en construcciones subterráneas y en el interior de los bosques más frondosos, por lo que obtienes visión en la oscuridad a 24 metros de distancia."
"Ambición y Progreso","[Raza][Humano]","Como humano, vives de forma más apasionada que el resto de razas, por lo que aprendes y te desarrollas con facilidad. Cada vez que subas a un nivel par, puedes añadir un punto a la puntuación del atributo que escojas. No puedes superar de esta forma una puntuación de 20 en ninguno de tus atributos."
"Sigiloso por Naturaleza","[Raza][Mediano]","Puedes intentar esconderte incluso cuando solamente estás cubierto tras una criatura de un tamaño mayor al [Medio]."
"Valiente","[Raza][Mediano]","Obtienes ventaja en las tiradas de salvación para resistir cualquier intento de asustarte."
"Linaje Feérico","[Raza][Semielfo]","Tienes ventaja en las salvaciones para resistir los conjuros y efectos que te intenten imponer la clave [Encantado]."
"Sentidos Agudizados","[Raza][Semielfo]","Tienes los sentidos mejorados, por lo que obtienes ventaja en las pruebas de atributo de Sabiduría que impliquen el oído o la vista."
